Group,SubjID,Kind,Item,Explanation,Process,Depends,Just is ,Material,Social,Maker,Visibility,Convention,IDK,SUM,LENGTH
CB,NFB_CB_08,natural,spinach,"it's a leafy plant, those vegetable leafy plants tend to be green, always associated with a green color",0,0,1,0,0,0,0,0,0,1,18
CB,NFB_CB_04,natural,spinach,"because it's a vegetable, that's how the vegetable grows",1,0,1,0,0,0,0,0,0,2,9
CB,NFB_CB_26,artifactFC,coin,because of their material,0,0,0,1,0,0,0,0,0,1,4
CB,NFB_CB_14,artifactFC,coin,"uniformity sake, US mint decdied that needed it to be the case, whatever country they came from, decided that",0,0,0,0,0,0,0,1,0,1,19
CB,NFB_CB_17,artifactFC,coin,"because that's what metal they're made of, why that is long ago our government decided that's how it's going to be",0,0,0,1,0,0,0,1,0,2,21
CB,NFB_CB_12,artifactFC,coin,because of the metal that they're made of,0,0,0,1,0,0,0,0,0,1,8
CB,NFB_CB_23,artifactFC,coin,because people like to look at shiny things,0,0,0,0,1,0,0,0,0,1,8
CB,NFB_CB_09,artifactFC,coin,"some of it has to do with attractiveness, some of it also has to do with if it is a writing or if it is in honor of a certain person you want to know that, like if it's a Sacagewea or Susan B Anthony dollar you want be able to know that, want to distinguish from quarter or other coins they feel/look very similar so you would want to have that kind of designation",0,0,0,0,1,0,0,1,0,2,75
CB,NFB_CB_07,artifactFC,coin,i don't know,0,0,0,0,0,0,0,0,1,1,3
CB,NFB_CB_06,artifactFC,coin,the way that they were made in the factory,1,0,0,0,0,0,0,0,0,1,9
CB,NFB_CB_03,artifactFC,coin,because of the metal that they're made of,0,0,0,1,0,0,0,0,0,1,8
CB,NFB_CB_22,artifactFC,coin,depends on which one you're talking about ,0,1,0,0,0,0,0,0,0,1,7
CB,NFB_CB_02,artifactFC,coin,"depends on the material used to make them, before when coins were gold, all gold, before used silver, now, I don’t think they use gold for coin, but still paint them yellow to look yellow, to remind people of gold",0,0,0,1,0,0,0,0,0,1,40
CB,NFB_CB_15,artifactFC,coin,because that's what people decided was a good idea,0,0,0,0,0,1,0,0,0,1,9
CB,NFB_CB_16,artifactFC,coin,that's how they're made,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_18,artifactFC,coin,because it's money and it can be identified that way,0,0,0,0,0,0,0,1,0,1,10
CB,NFB_CB_13,artifactFC,coin,they need to be the same color so they can be recognized as coins,0,0,0,0,0,0,0,1,0,1,14
CB,NFB_CB_11,artifactFC,coin,so they can be noticeable,0,0,0,0,0,0,1,0,0,1,5
CB,NFB_CB_10,artifactFC,coin,because they're made of metal,0,0,0,1,0,0,0,0,0,1,5
CB,NFB_CB_24,artifactFC,coin,"because of what the were made out of originally, they were always made out of valuable things like gold silver or copper, they're kind of historical I think",0,0,0,1,0,0,0,1,0,2,28
CB,NFB_CB_08,artifactFC,coin,"silver dollars and gold dollars, old coins were silver and gold, root of currency, but coins can be green because associate green with money",0,0,0,1,0,0,0,1,0,2,24
CB,NFB_CB_04,artifactFC,coin,that's how it's made,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_26,artifactFC,lab coat,"because of the material that they're made from, and I think they tried to use white in labs to keep them sterile",0,0,0,1,0,0,0,0,0,1,22
CB,NFB_CB_14,artifactFC,lab coat,"white because easy to see, easy to spot people, notice that someone works here ",0,0,0,0,0,0,1,0,0,1,14
CB,NFB_CB_17,artifactFC,lab coat,"because it makes the doctor or the scientist or whoever look professional and knowledgeable, it's the image, and it gives the appearance of cleaniless",0,0,0,0,0,0,0,1,0,1,24
CB,NFB_CB_12,artifactFC,lab coat,we associate white coats with doctors,0,0,0,0,0,0,0,1,0,1,6
CB,NFB_CB_23,artifactFC,lab coat,"white is like a doctor thing, purity, white means clean, sterile; black is just another standard color",0,0,0,0,0,0,0,1,0,1,17
CB,NFB_CB_09,artifactFC,lab coat,"some of it especially the white has to do with being able to tell if a specimen has been compromised and you have it all over you, you  want to be able to tell and to clean it properly afterward, I associate white coats with doctors, want patient to know you're for real, there's also white coat syndrome can make you nervous,but it's also our way of 'ok this is the doctor, whoever this is, white coat on, he's professional (good first impression)'; making a strong statement, black works weel with chemicals, if you have a black coat and a yellow looking chemical on it you want to clean it up before your next experiment",0,0,0,0,0,0,1,1,0,2,114
CB,NFB_CB_07,artifactFC,lab coat,uniform,0,0,0,0,0,0,0,1,0,1,1
CB,NFB_CB_06,artifactFC,lab coat,they're easy to look at,0,0,0,0,0,0,1,0,0,1,5
CB,NFB_CB_03,artifactFC,lab coat,"so they're distinguishable I guess, I honestly don't know",0,0,0,0,0,0,1,0,0,1,9
CB,NFB_CB_22,artifactFC,lab coat,wanted to make a standard colo so people would know which person was the doctor,0,0,0,0,0,0,0,1,0,1,15
CB,NFB_CB_02,artifactFC,lab coat,"because some people associate white with clean, and because when something white gets dirty, can easily see it because conrasts with white, so then lab coats are… since people in labs use chemicals and some chemicals could be harmful, fall on your clothes, with white it's easier to see if something fell on you",0,0,0,0,0,0,1,1,0,2,54
CB,NFB_CB_15,artifactFC,lab coat,the material is made to protect the person from harm,0,0,0,1,0,0,0,0,0,1,10
CB,NFB_CB_16,artifactFC,lab coat,that's how they're designed,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_18,artifactFC,lab coat,"for identification, most people associate lab coats with like a doctor or lab technician",0,0,0,0,0,0,0,1,0,1,14
CB,NFB_CB_13,artifactFC,lab coat,stereotypes,0,0,0,0,0,0,0,1,0,1,1
CB,NFB_CB_11,artifactFC,lab coat,different professions have different color lab coats,0,1,0,0,0,0,0,1,0,2,7
CB,NFB_CB_10,artifactFC,lab coat,"white lab coat is an association in society, clothes can be made in any color so some people might not want a white lab coat so they might get one made in another color ",0,0,0,0,1,0,0,1,0,2,34
CB,NFB_CB_24,artifactFC,lab coat,"because it's easy to see if you spilled something on you that could be hazardous, and it's also easy to just bleach them",0,0,0,0,0,0,1,0,0,1,23
CB,NFB_CB_08,artifactFC,lab coat,"it's a symbolic, uniform thing, literally and figuratively, OK we know these are in the lab, they're one of us, a way of indicating who they are",0,0,0,0,0,0,0,1,0,1,27
CB,NFB_CB_04,artifactFC,lab coat,because of the way It's made,1,0,0,0,0,0,0,0,0,1,6
CB,NFB_CB_26,artifactFC,military uniform,"because they're supposed to be a representation of the country whose military the uniform comes from, the military branch",0,0,0,0,0,0,0,1,0,1,19
CB,NFB_CB_14,artifactFC,military uniform,"to represent the country, if differences in color, represent what branch you come from, what unit, what you're doing in your branch, based off of job ",0,0,0,0,0,0,0,1,0,1,26
CB,NFB_CB_17,artifactFC,military uniform,"tradition, status, the variation in color symbolizes something",0,0,0,0,0,0,0,1,0,1,8
CB,NFB_CB_12,artifactFC,military uniform,to recognize each individuals' military contribution,0,0,0,0,0,0,0,1,0,1,6
CB,NFB_CB_23,artifactFC,military uniform,to hide and blend in with their surroundings,0,0,0,0,0,0,1,0,0,1,8
CB,NFB_CB_09,artifactFC,military uniform,"trying to send a message, red is the color of fire (or one of the big colors of fire) and tends to be associated with war, and that's the purpose of you being in the military, to be able to fight in the war if need be, it's a symbolic thing, medals that are different colors you're dealing with the idea of being able to  distinguish rank and distinguishedhow decorated this person is 'wow look at what they've done', has some glory attached to it",0,1,0,0,0,0,0,1,0,2,85
CB,NFB_CB_07,artifactFC,military uniform,to go with the flag colors,0,0,0,0,0,0,0,1,0,1,6
CB,NFB_CB_06,artifactFC,military uniform,because of the color of the cloth,0,0,0,1,0,0,0,0,0,1,7
CB,NFB_CB_03,artifactFC,military uniform,colors of the flag,0,0,0,0,0,0,0,1,0,1,4
CB,NFB_CB_22,artifactFC,military uniform,"to make it standard, so that if you're walking around town, you're careful,",0,0,0,0,0,0,0,1,0,1,13
CB,NFB_CB_02,artifactFC,military uniform,"not sure why, maybe they're all different colors because different countries have differnet colors",0,1,0,0,0,0,0,0,0,1,14
CB,NFB_CB_15,artifactFC,military uniform,"maybe so that they can camouflage with the environment, and not be seen",0,0,0,0,0,0,1,0,0,1,13
CB,NFB_CB_16,artifactFC,military uniform,"because that's the US colors, depends on country",0,1,0,0,0,0,0,1,0,2,8
CB,NFB_CB_18,artifactFC,military uniform,"well for our case anyway, for the colors of our country's flag",0,0,0,0,0,0,0,1,0,1,12
CB,NFB_CB_13,artifactFC,military uniform,inidicate certain rank and station in the military,0,0,0,0,0,0,0,1,0,1,8
CB,NFB_CB_11,artifactFC,military uniform,so that everyone in the unit can be in unison,0,0,0,0,0,0,0,1,0,1,10
CB,NFB_CB_10,artifactFC,military uniform,those are the colors we associate with our military,0,0,0,0,0,0,0,1,0,1,9
