,,,,Blind,,,,,,,,,,,,,,,,,,,,Sighted,,,,,,,,,,,,,,,,,,,,Blind,,Sighted
10,color - manmade (functional),Reeka," You observe a group of Zorka people all wearing sleek, tight-fitting blue jackets with on their way to some kind of event. One of the people tells you that they are on their way to a Reeka, which is a coming-of-age ceremony that is important in Zorka culture.  How likely is it that the next time you come across another Zorka attending a Reeka, they are also wearing blue? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,6,7,3,7,7,6,7,6,7,5,7,5,7,3,3,5,7,7,7,6,7,6,5,6,5,1,5,5,4,7,5,6,7,6,7,3,3,5,,5.85,1.460893742,5.210526316
11,color - manmade (non-functional),Kanpa," A Zorka woman invites you into her home. There, you notice a gadget that is floating around the house, spraying an odorless chemical. The gadget is triangular, yellow, and the size of a thumb. She says that this gadet is called a Kanpa, and that her Kanpa is rather old. How likely is it that the next time you come across another Kanpa, it is also yellow? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,3,5,3,5,5,5,1,4,3,6,2,3,5,3,7,3,1,4,5,5,3,2,3,5,3,2,2,5,2,1,1,2,7,4,1,3,3,2,,3.9,1.586124041,2.947368421
12,color - manmade (non-functional),Flut," You observe a Zorka man using a remote controller to operate an unfamiliar machine. The machine is very thin, covered in small dots, and green. It appears to be cleaning the roof of a house. He explains that this machine is called a Flut. Most Zorka families these days own a Flut. How likely is it that the next time you come across another Flut, it is also green? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,4,5,3,5,5,3,2,3,3,5,3,7,4,3,6,2,3,5,5,4,3,5,4,6,5,2,4,6,2,7,2,2,6,5,2,3,3,3,,4.1,1.410487038,3.894736842
13,color - manmade (non-functional),Meepa," You come across a Zorka teen who is speaking into a device which is orange, spherical, and smooth all around. There is a holographic image of a person coming out of the device. She says that this device is called a Meepa. and that she can't imagine living without her Meepa. How likely is it that the next time you come across another Meepa, it is also orange? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,4,6,2,1,5,6,1,4,3,6,2,3,4,3,2,3,2,4,5,5,2,4,4,4,3,2,5,5,2,3,2,2,5,3,3,4,4,4,,3.65,1.755442664,3.473684211
14,color - manmade (non-functional),Cano," In a Zorka store window, you see a cube-shaped contraption on display. It is blue and the size of a human head. He tells you that this contraption is called a Cano. You can put it near your bed and night, and it helps you sleep. This Cano is the newest model. How likely is it that the next time you come across another Cano, it is also blue? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,5,6,2,1,6,5,1,4,3,1,2,3,5,4,2,3,1,6,5,4,4,3,4,6,7,4,3,6,3,7,3,3,5,5,6,3,3,2,,3.55,1.877147893,4.263157895
15,color - manmade (non-functional),Maxus," While walking around the city, you come across a Zorka person holding an unusual device. The device is shaped like a bowl, rough in texture, and red.  She tells you that this is device is called a Maxus, and that it was expensive to buy. The Maxus can record your thoughts, even if you don't speak them out loud. How likely is it that the next time you come across another Maxus, it is also red? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,5,7,4,6,7,1,1,4,3,7,2,6,5,5,6,3,2,5,5,3,4,5,4,4,4,3,5,6,2,5,5,2,7,5,2,4,4,3,,4.55,1.986136159,4.052631579
16,function - natural kind ,Koshi," You see an orange creature that is being chased by an elderly Zorka man across a field. The creature is hairless, has three tails, and makes a piercing sound as it runs. The elderly man stops to explain that this creature is called a Koshi. Koshi are native to this island. How likely is it that the next time you come across another Koshi, it is also being chased? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",4,5,2,2,7,3,5,1,3,3,1,4,3,5,3,5,1,2,2,5,5,2,5,4,3,3,2,1,3,2,1,2,1,7,3,4,4,4,2,,3.3,1.657518754,3.052631579
17,function - natural kind ,Poom," You come across a Zorka farmer who is taking a nap on a gigantic boulder. It is yellow, flat, and appears to be hovering slightly off the ground. The farmer wakes up as you approach. The farmer tells you that this boulder is called a Poom, and that Pooms are famous for how large they can get. How likely is it that the next time you come across another Poom, it is also being slept on? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,2,2,2,7,4,2,1,5,3,1,6,2,5,4,5,2,3,4,3,3,1,2,2,4,2,2,4,4,3,2,4,3,4,2,5,1,1,3,,3.4,1.69829636,2.736842105
18,function - natural kind ,Borg," At the foot of a mountain, you observe a Zorka man picking up a stone from the ground. He throws it at the mountain. The stone is elongated, shimmery, and green. The man says that this stone is called a Borg, and that Borgs are everywhere. He likes to come here to clear his head sometimes. How likely is it that the next time you come across another Borg, it is also being thrown? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",4,1,2,1,6,3,3,1,3,3,1,2,4,6,3,3,2,2,2,5,2,2,3,2,4,1,2,1,3,1,2,2,1,6,1,3,2,2,2,,2.85,1.531253357,2.210526316
19,function - natural kind ,Norpee," While you are running home from the rain, you notice a strange flower. It is blue and has enormous square petals. A Zorka girl appears to be sitting under it. The girl explains that this plant is called a Norpee, and that her family grows a Norpee in their backyard, too. How likely is it that the next time you come across another Norpee, it is also being used to shield from rain? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",4,1,2,3,5,4,3,7,3,7,1,3,7,6,2,3,2,3,4,3,3,4,3,3,5,2,4,4,6,3,5,3,2,5,1,1,2,2,2,,3.65,1.87153188,3.157894737
20,function - natural kind ,Irve," You come across a young Zorka woman who is ripping out a strange plant from the ground. The plant is fuzzy, red, and has jagged leaves. The leaves flop around with the wind. She says that this plant is called an Irve. She tells you that the she likes the way Irves smell. How likely is it that the next time you come across another Irve, it is also being ripped out of the ground? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,2,3,2,7,3,3,1,4,3,2,2,3,4,2,1,1,1,3,7,5,1,3,3,2,1,4,2,3,1,2,2,1,7,4,1,3,3,2,,3.05,1.932410548,2.631578947
21,function - manmade,Xenop," While exploring a Zorka factory, you find a Zorka worker operating a pointy, asymmetrical, and green machine. It shakes back and forth without making a sound, and appears to be making a square hole. He tell you that this machine is called a Xenop, and that he thinks that Xenops are rather ugly. How likely is it that the next time you come across another Xenop, it is also being used to make a square hole? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,4,7,2,5,7,4,1,5,5,5,4,6,6,6,1,6,5,4,7,7,7,2,5,7,6,5,4,3,5,7,3,5,4,6,7,6,6,4,,4.75,1.773340588,5.210526316
22,function - manmade,Trint," You're exploring an elderly Zorka woman's home, and you find an unfamiliar red contraption. It has circular compartments, reaches all the way up to the ceiling, and a variety of objects appear to be stored in it. The elderly woman tells you that this contraption is called a Trint. She doesn't know a Zorka who doesn't own a Trint. How likely is it that the next time you come across another Trint, it is also storing things? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,7,7,6,7,7,5,7,6,7,7,6,7,7,5,7,5,7,7,7,6,7,7,6,7,6,5,7,6,7,7,4,7,7,6,7,7,7,6,,6.55,0.759154655,6.421052632
23,function - manmade,Soof," You hear two Zorka children laughing, and go to investigate. You see that they are playing with a rectangular, blue, and sparkly toy. They keep passing it back and forth to each other.  They tell you that this toy is called a Soof, and that they saved up for a long time to buy this Soof.  How likely is it that the next time you come across another Soof, it is also being played with? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,7,6,7,7,4,1,7,6,7,4,5,6,7,6,7,5,7,7,7,6,7,6,6,5,5,6,7,6,7,7,4,5,7,7,2,5,5,6,,6,1.55597321,5.736842105
24,function - manmade,Quag," You walk past a Zorka person who is blowing into a coily, bumpy, and yellow instrument. The instrument makes a haunting howling sound.  She says that this instrument is called a Quag, and that Quags have been around for decades. How likely is it that the next time you come across another Quag, it is also being blown into? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,3,7,5,7,6,6,7,6,7,3,5,3,7,3,3,3,7,5,7,5,7,2,6,6,6,4,7,5,6,7,5,5,6,7,6,3,3,5,,5.35,1.725200217,5.315789474
25,function - manmade,Olan," You come across a Zorka person using a loud, orange, and bulky machine. Large rocks go in from one end and a gooey liquid comes out of the other. He explains that this machine is called an Olan. The Olan was invented by a Zorka person from his town. How likely is it that the next time you come across another Olan, it is also being used to make a gooey liquid? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,7,7,6,7,7,4,7,5,7,7,5,2,7,6,6,6,7,7,7,6,7,5,6,7,7,5,2,6,4,7,3,7,6,7,5,5,5,5,,6.2,1.321880638,5.526315789
26,filler - manmade (low),Gep," You're walking around a residential neightborhood, and you come across an elderly Zorka man who is rubbing his hand over a strange contraption. It looks like a rounded square and is attached to the wall of a house.  The elderly man explains that this contraption is called a Gep. Gep can warm your hands when it's cold outside. How likely is it that the next time you come across another Gep, it is also a rounded square? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,5,7,6,5,7,5,1,6,7,7,5,4,7,5,4,6,5,6,7,5,5,5,5,7,6,6,5,6,5,7,5,5,5,5,6,5,5,6,,5.55,1.468081455,5.473684211
27,filler - manmade (low),Desh," You spot a group of Zorka teenagers who are sitting around an unfamiliar object. It looks like three balls stacked on top of each other, and it seems to be emitting sparks. The teenagers explain that this is object is called a Desh. It is the newest Zorka game device. The rules of the game is different each time you turn the Desh on. How likely is it that the next time you come across another Desh, it is also emitting sparks? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,3,4,6,7,5,1,7,5,7,5,5,4,5,2,6,2,7,7,7,6,3,1,3,6,4,3,4,4,5,3,1,3,1,4,1,5,5,4,,5.05,1.877147893,3.473684211
28,filler - manmade (low),Nox," A Zorka man invites you into his house and shows you a large indoor pool filled with cold liquid. He says that the liquid in this pool can heal minor wounds if you sit in it for a long time. He says that this type of pool is called a Nox, and brags that not everyone can afford to have a Nox in their house. How likely is it that the next time you come across another Nox, it is also large? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,1,4,2,7,3,3,1,3,7,5,5,4,6,5,3,3,4,5,7,4,3,4,4,6,6,5,4,5,4,4,6,4,7,4,2,5,5,5,,4.15,1.814415956,4.578947368
29,filler - natural kind (high),Yobal," You notice a Zorka person jogging around the lake. He makes a wide arc around a strange fruit that is lying on the ground. The fruit is long, coiled up, and has square leaves. The person says that this fruit is called a Yobal, and that you never want to step on a Yobal. How likely is it that the next time you come across another Yobal, it also has square leaves? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,5,7,6,7,7,5,7,7,7,7,5,7,7,5,2,7,6,7,7,5,7,6,7,7,7,7,7,7,6,7,6,7,7,6,6,7,7,7,,6.2,1.281446551,6.631578947
30,filler - natural kind (high),Walla," You see a strange creature that is perched on the roof of a Zorka house. The creature is very fluffy and has four wings. A Zorka police officer starts shouting at it to get off the roof.  The police officer says that this creature is called a Walla, and that Wallas often steal people's things. How likely is it that the next time you come across another Walla, it also has four wings? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,6,7,5,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,5,7,7,7,6,7,7,7,4,7,5,7,6,5,7,5,6,6,6,7,,6.55,0.686332741,6.263157895
31,filler - natural kind (high),Chom," Inside a Zorka house, you find a rock that is being used as a paperweight. It is speckled, heavy for its size, and has lumps all over it.  The Zorka homeowner tells you that this rock is called a Chom. She found this Chom while on holiday last year. How likely is it that the next time you come across another Chom, it also has lumps all over it? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,3,7,4,6,7,4,1,5,7,6,4,7,7,4,2,5,5,6,7,2,5,3,5,6,7,4,3,7,4,6,6,1,7,5,4,5,5,6,,5.1,1.774082417,4.789473684
32,filler - natural kind (low),Hyto," While following a small stream, you find a strange creature that is resting on the ground. It is scaly, large, and snoring very loudly. A Zorka passerby tells you that this creature is called a Hyto, and that Hytos are very friendly, so you can pet them if you want. How likely is it that the next time you come across another Hyto, it is also snoring very loudly? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,2,2,3,1,3,4,1,2,3,3,3,3,3,2,4,2,2,3,7,2,3,3,3,3,3,3,5,4,2,7,3,2,4,2,2,2,2,3,,2.9,1.372665482,3.052631579
33,filler - natural kind (low),Drapa," You're walking around a field at night, and you find a plant that is glowing in the dark. It is covered in tiny thorns and has sharp leaves. You pick it off the stem and count eight thorns. A Zorka person tells you that this plant is called a Drapa, and that Drapa symbolize strength in Zorka culture. How likely is it that the next time you come across another Drapa, it also has exactly eight thorns? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,5,1,2,6,3,5,1,6,5,4,3,1,7,2,4,5,7,6,7,2,7,2,2,7,7,1,7,2,3,5,2,6,5,4,7,2,2,3,,4.25,2.048748013,4
34,filler - natural kind (low),Uzoo," You come across a Zorka woman who is wearing a necklace that has a type of gem that you've never seen before. The gem is shaped like a teardrop and looks very fragile. The woman explains that this gem is called an Uzoo, and that she inherited this Uzoo from her late grandmother. How likely is it that the next time you come across another Uzoo, it is shaped like a teardrop? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likey'. ",6,5,5,5,2,4,5,3,4,7,5,5,3,7,5,6,5,3,5,7,3,5,5,2,2,1,2,6,4,4,7,6,6,5,5,4,6,6,1,,4.85,1.386969434,4.210526316
35,filler - natural kind (low),Jox," You come across a Zorka boy who is leaning over a dainty plant, smelling it. The plant comes up to your knees and has many long tentacles.  He tells you that this plant is called Jox. The smell of the Jox can predict the weather.   How likely is it that the next time you come across another Jox, it also comes up to your knees? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,3,3,3,1,5,3,1,3,7,4,4,3,7,2,1,3,2,5,5,3,5,4,5,6,7,7,4,3,4,6,1,3,5,5,3,6,6,4,,3.55,1.820208201,4.578947368
